Sale_ID,Date,Store_ID,Product_ID,Customer_ID,Quantity,Unit_Price,Discount,Total_Sale
SALE000047,2023-10-24,STORE043,PROD00439,CUST00765,1,4085.42,20,3268.34
SALE000048,2024-03-16,STORE034,PROD00127,CUST00586,4,5196.66,15,17668.64
SALE000049,2022-12-01,STORE006,PROD00345,CUST00816,3,4372.76,0,13118.28
SALE000050,2023-05-13,STORE020,PROD00103,CUST01509,3,4336.35,5,12358.6
SALE000051,2023-08-31,STORE000,PROD00367,CUST02405,1,1919.22,15,1631.34
SALE000052,2023-11-13,STORE049,PROD00113,CUST01749,4,6228.82,15,21177.99
SALE000053,2023-12-15,STORE017,PROD00203,CUST00110,1,3567.72,20,2854.18
SALE000054,2023-06-27,STORE014,PROD00385,CUST01410,2,6042.47,15,10272.2
SALE000055,2024-05-12,STORE036,PROD00454,CUST00844,1,6166.34,20,4933.07
SALE000056,2023-07-16,STORE003,PROD00444,CUST02843,1,1432.34,10,1289.11
SALE000057,2023-04-01,STORE015,PROD00107,CUST02747,3,5576.68,0,16730.04
SALE000058,2023-04-14,STORE021,PROD00315,CUST02840,1,7151.72,10,6436.55
SALE000059,2022-11-08,STORE027,PROD00289,CUST02307,4,1813.01,20,5801.63
SALE000060,2023-08-04,STORE047,PROD00418,CUST01718,3,3961.39,5,11289.96
SALE000061,2022-05-16,STORE001,PROD00441,CUST02824,1,737.47,0,737.47
SALE000062,2024-03-19,STORE008,PROD00220,CUST00655,2,7756.2,5,14736.78
SALE000063,2022-11-10,STORE033,PROD00015,CUST01230,1,6422.91,5,6101.76
SALE000064,2022-06-25,STORE022,PROD00034,CUST02097,1,5118.1,10,4606.29
SALE000065,2024-03-19,STORE049,PROD00159,CUST02554,1,722.46,0,722.46
SALE000066,2022-09-24,STORE035,PROD00482,CUST02012,3,212.34,20,509.62
SALE000067,2022-08-21,STORE040,PROD00139,CUST01322,4,3650.72,0,14602.88
SALE000068,2023-05-11,STORE026,PROD00252,CUST01173,2,779.35,10,1402.83
SALE000069,2023-01-16,STORE039,PROD00058,CUST02111,1,2018.8,10,1816.92
SALE000070,2022-10-23,STORE040,PROD00186,CUST00677,4,805.6,0,3222.4
SALE000071,2024-02-28,STORE024,PROD00488,CUST02527,4,683.62,5,2597.76
SALE000072,2024-05-15,STORE027,PROD00350,CUST01184,3,7615.29,0,22845.87
SALE000073,2022-02-18,STORE045,PROD00378,CUST02121,2,7309.14,0,14618.28
SALE000074,2022-06-01,STORE000,PROD00295,CUST01802,3,5493.61,20,13184.66
SALE000075,2022-12-28,STORE039,PROD00293,CUST00463,4,6707.52,0,26830.08
SALE000076,2022-10-19,STORE026,PROD00351,CUST00626,4,2116.47,5,8042.59
SALE000077,2023-04-12,STORE013,PROD00234,CUST01702,4,4298.44,20,13755.01
SALE000078,2022-06-20,STORE022,PROD00253,CUST00987,3,2143.79,0,6431.37
SALE000079,2023-09-26,STORE019,PROD00337,CUST01155,2,6150.1,20,9840.16
SALE000080,2022-06-14,STORE043,PROD00423,CUST00646,1,1602.82,5,1522.68
SALE000081,2023-12-30,STORE029,PROD00038,CUST01712,3,5107.78,20,12258.67
SALE000082,2023-07-03,STORE025,PROD00294,CUST01876,4,4098.98,0,16395.92
SALE000083,2022-10-20,STORE001,PROD00132,CUST00606,3,1353.71,15,3451.96
SALE000084,2022-07-06,STORE031,PROD00474,CUST01095,4,2641.05,0,10564.2
SALE000085,2022-06-29,STORE020,PROD00322,CUST00875,1,5779.14,20,4623.31
SALE000086,2024-05-09,STORE005,PROD00139,CUST01955,1,1938.97,0,1938.97
SALE000087,2023-12-27,STORE010,PROD00168,CUST00377,2,3392.93,20,5428.69
SALE000088,2023-12-11,STORE005,PROD00318,CUST02713,4,4564.36,15,15518.82
SALE000089,2023-11-14,STORE003,PROD00186,CUST01192,2,3539.08,0,7078.16
SALE000090,2024-03-24,STORE005,PROD00356,CUST00126,2,230.36,5,437.68
SALE000091,2022-06-07,STORE032,PROD00315,CUST02088,1,7677.9,10,6910.11
SALE000092,2022-06-15,STORE018,PROD00201,CUST00766,3,5204.98,15,13272.7
SALE000093,2022-09-01,STORE008,PROD00040,CUST02276,3,578.96,10,1563.19
SALE000094,2022-04-30,STORE024,PROD00134,CUST02898,2,7453.8,15,12671.46
SALE000095,2022-02-12,STORE010,PROD00019,CUST01667,1,2776.93,20,2221.54
SALE000096,2022-11-21,STORE042,PROD00448,CUST01638,4,5773.4,20,18474.88
SALE000097,2023-08-12,STORE008,PROD00314,CUST00994,3,2754.97,20,6611.93
SALE000098,2022-05-10,STORE024,PROD00457,CUST02791,2,5694.67,5,10819.87
SALE000099,2023-03-28,STORE019,PROD00439,CUST00379,3,5126.87,0,15380.61
SALE000100,2022-09-24,STORE041,PROD00232,CUST02260,3,5105.84,10,13785.77
SALE000101,2023-01-14,STORE018,PROD00232,CUST02427,4,5474.77,15,18614.22
SALE000102,2022-07-08,STORE006,PROD00418,CUST00661,1,4093.59,20,3274.87
SALE000103,2022-07-30,STORE033,PROD00158,CUST02388,4,5015.68,0,20062.72
SALE000104,2023-07-30,STORE001,PROD00043,CUST00018,1,3582.13,5,3403.02
SALE000105,2023-12-26,STORE008,PROD00470,CUST00431,3,6434.36,0,19303.08
SALE000106,2022-02-05,STORE017,PROD00260,CUST01324,2,1945.17,20,3112.27
SALE000107,2023-11-13,STORE022,PROD00144,CUST01025,4,2658.14,0,10632.56
SALE000108,2022-11-21,STORE037,PROD00052,CUST01212,1,3483.61,5,3309.43
SALE000109,2022-12-19,STORE018,PROD00424,CUST00122,3,4159.01,15,10605.48
SALE000110,2022-06-01,STORE003,PROD00458,CUST00284,1,6624.13,5,6292.92
SALE000111,2023-01-17,STORE032,PROD00072,CUST01224,1,3558.31,20,2846.65
SALE000112,2023-04-05,STORE022,PROD00470,CUST00052,1,4206.0,10,3785.4
SALE000113,2023-07-07,STORE038,PROD00194,CUST00420,3,6448.92,10,17412.08
SALE000114,2022-06-16,STORE040,PROD00129,CUST01356,2,919.91,5,1747.83
SALE000115,2023-07-01,STORE014,PROD00421,CUST00574,2,5367.84,0,10735.68
SALE000116,2022-11-05,STORE020,PROD00014,CUST02823,2,7968.66,5,15140.45
SALE000117,2022-05-05,STORE025,PROD00166,CUST02982,1,5745.46,15,4883.64
SALE000118,2022-01-26,STORE023,PROD00434,CUST01342,3,6654.14,5,18964.3
SALE000119,2023-02-19,STORE015,PROD00457,CUST02838,1,708.74,10,637.87
SALE000120,2023-05-27,STORE021,PROD00126,CUST00240,2,656.21,0,1312.42
SALE000121,2024-02-26,STORE010,PROD00493,CUST00875,2,6021.97,20,9635.15
SALE000122,2022-05-29,STORE017,PROD00185,CUST00174,3,3805.18,0,11415.54
SALE000123,2023-04-15,STORE041,PROD00069,CUST02759,1,1477.09,20,1181.67
SALE000124,2022-11-24,STORE015,PROD00306,CUST00204,4,1387.16,15,4716.34
SALE000125,2022-06-09,STORE030,PROD00113,CUST02974,4,6256.9,0,25027.6
SALE000126,2022-01-05,STORE049,PROD00431,CUST01631,2,3892.17,10,7005.91
SALE000127,2024-01-27,STORE029,PROD00089,CUST02579,3,3820.18,0,11460.54
SALE000128,2023-07-14,STORE048,PROD00069,CUST01084,1,3561.45,0,3561.45
SALE000129,2023-06-04,STORE046,PROD00236,CUST01593,1,7579.99,10,6821.99
SALE000130,2022-12-06,STORE037,PROD00207,CUST01032,2,2433.41,15,4136.8
SALE000131,2023-10-25,STORE021,PROD00300,CUST02859,2,1986.12,5,3773.63
SALE000132,2023-12-24,STORE002,PROD00358,CUST00408,1,6249.09,0,6249.09
SALE000133,2022-10-30,STORE028,PROD00248,CUST02038,1,3185.05,5,3025.8
SALE000134,2023-05-01,STORE046,PROD00097,CUST01016,2,2688.23,5,5107.64
SALE000135,2022-10-24,STORE026,PROD00356,CUST00389,1,6854.61,5,6511.88
SALE000136,2024-02-12,STORE043,PROD00336,CUST02751,4,6222.75,15,21157.35
SALE000137,2023-08-11,STORE023,PROD00030,CUST00820,2,3054.53,20,4887.25
SALE000138,2023-11-14,STORE049,PROD00166,CUST01403,1,3319.77,15,2821.8
SALE000139,2022-05-31,STORE049,PROD00402,CUST02212,2,4352.43,10,7834.37
SALE000140,2024-03-29,STORE020,PROD00232,CUST00130,3,2399.24,0,7197.72
SALE000141,2023-08-02,STORE029,PROD00092,CUST02449,2,3041.42,15,5170.41
SALE000142,2024-01-17,STORE014,PROD00061,CUST02503,2,2103.63,15,3576.17
SALE000143,2023-03-29,STORE031,PROD00261,CUST01174,3,7707.56,20,18498.14
SALE000144,2022-12-13,STORE016,PROD00220,CUST02895,4,2525.47,20,8081.5
SALE000145,2023-12-07,STORE035,PROD00142,CUST02827,1,5451.19,5,5178.63
SALE000146,2022-04-26,STORE047,PROD00172,CUST01407,3,2391.92,5,6816.97
SALE000147,2024-01-20,STORE046,PROD00417,CUST02863,2,7100.0,15,12070.0
SALE000148,2023-05-06,STORE022,PROD00487,CUST01589,1,887.85,20,710.28
SALE000149,2022-02-11,STORE046,PROD00451,CUST01932,3,1738.03,20,4171.27
SALE000150,2022-05-23,STORE047,PROD00347,CUST02604,1,3269.34,5,3105.87
SALE000151,2023-11-26,STORE009,PROD00113,CUST00671,1,1122.96,0,1122.96
SALE000152,2023-07-19,STORE021,PROD00066,CUST02974,3,3913.71,20,9392.9
SALE000153,2022-04-30,STORE004,PROD00336,CUST01557,1,988.98,20,791.18
SALE000154,2022-11-12,STORE010,PROD00222,CUST02165,4,7242.43,20,23175.78
SALE000155,2022-01-26,STORE010,PROD00047,CUST00339,3,2107.3,15,5373.62
SALE000156,2023-02-16,STORE021,PROD00423,CUST00271,4,3145.16,5,11951.61
SALE000157,2023-09-25,STORE047,PROD00205,CUST02828,2,6030.79,15,10252.34
SALE000158,2024-05-11,STORE035,PROD00316,CUST00404,1,6649.98,15,5652.48
SALE000159,2022-08-14,STORE018,PROD00039,CUST00105,2,5176.63,20,8282.61
SALE000160,2023-04-02,STORE026,PROD00239,CUST01185,2,7370.62,15,12530.05
SALE000161,2023-01-01,STORE029,PROD00415,CUST00295,1,4805.34,20,3844.27
SALE000162,2022-04-05,STORE037,PROD00131,CUST01036,3,3470.8,10,9371.16
SALE000163,2022-12-01,STORE040,PROD00293,CUST01398,1,4090.36,0,4090.36
SALE000164,2022-02-26,STORE003,PROD00289,CUST02864,2,5816.66,15,9888.32
SALE000165,2023-09-15,STORE005,PROD00113,CUST00318,2,539.52,20,863.23
SALE000166,2023-10-19,STORE042,PROD00327,CUST01849,3,897.41,15,2288.4
SALE000167,2022-07-19,STORE031,PROD00362,CUST01249,1,5354.45,0,5354.45
SALE000168,2023-08-21,STORE020,PROD00312,CUST02400,2,6481.25,20,10370.0
SALE000169,2023-06-24,STORE049,PROD00142,CUST00243,4,232.24,10,836.06
SALE000170,2022-08-16,STORE010,PROD00176,CUST01689,2,5709.64,5,10848.32
SALE000171,2024-03-11,STORE010,PROD00329,CUST01074,2,4162.49,10,7492.48
SALE000172,2024-02-25,STORE030,PROD00083,CUST02705,3,4905.78,0,14717.34
SALE000173,2022-10-12,STORE037,PROD00085,CUST01780,4,1866.0,20,5971.2
SALE000174,2022-07-20,STORE048,PROD00228,CUST00821,2,473.39,10,852.1
SALE000175,2022-01-24,STORE040,PROD00363,CUST01444,2,5849.82,5,11114.66
SALE000176,2022-03-27,STORE011,PROD00486,CUST02997,4,7192.54,10,25893.14
SALE000177,2023-07-06,STORE039,PROD00303,CUST00347,1,2151.12,0,2151.12
SALE000178,2024-05-19,STORE017,PROD00407,CUST00342,1,1711.65,20,1369.32
SALE000179,2023-04-02,STORE036,PROD00051,CUST01171,2,6411.81,15,10900.08
SALE000180,2023-11-25,STORE043,PROD00264,CUST02968,2,5034.42,0,10068.84
SALE000181,2023-11-19,STORE048,PROD00410,CUST02837,1,4182.49,10,3764.24
SALE000182,2022-03-31,STORE027,PROD00005,CUST00040,3,5504.33,10,14861.69
SALE000183,2023-06-09,STORE020,PROD00181,CUST00391,4,3277.21,20,10487.07
SALE000184,2023-02-08,STORE010,PROD00160,CUST02456,4,6449.38,20,20638.02
SALE000185,2022-07-19,STORE013,PROD00402,CUST00209,3,3706.06,15,9450.45
SALE000186,2023-05-18,STORE039,PROD00135,CUST02130,3,4037.78,20,9690.67
SALE000187,2022-11-22,STORE025,PROD00439,CUST01244,3,1168.43,20,2804.23
SALE000188,2023-09-10,STORE031,PROD00251,CUST02301,3,1168.58,5,3330.45
SALE000189,2023-09-12,STORE016,PROD00026,CUST01451,3,3765.36,20,9036.86
SALE000190,2023-06-08,STORE043,PROD00028,CUST00877,3,7966.78,10,21510.31
SALE000191,2022-02-27,STORE037,PROD00362,CUST02545,4,1086.02,0,4344.08
SALE000192,2023-11-14,STORE036,PROD00440,CUST00996,3,1744.27,0,5232.81
SALE000193,2023-01-05,STORE039,PROD00212,CUST00263,1,2878.44,5,2734.52
SALE000194,2023-02-12,STORE003,PROD00474,CUST00887,3,2981.94,20,7156.66
SALE000195,2022-06-01,STORE009,PROD00431,CUST02642,3,6479.02,20,15549.65
SALE000196,2024-01-04,STORE003,PROD00386,CUST02292,4,1800.48,20,5761.54
SALE000197,2024-05-24,STORE014,PROD00286,CUST02375,4,6483.44,5,24637.07
SALE000198,2023-03-14,STORE042,PROD00270,CUST01292,3,6977.59,15,17792.85
SALE000199,2023-01-14,STORE033,PROD00248,CUST01527,4,4192.66,10,15093.58
SALE000200,2023-01-31,STORE021,PROD00492,CUST01800,2,184.18,0,368.36
SALE000201,2023-01-17,STORE017,PROD00121,CUST00327,4,5987.44,20,19159.81
SALE000202,2022-01-13,STORE002,PROD00410,CUST02784,4,4852.75,5,18440.45
SALE000203,2022-10-19,STORE028,PROD00367,CUST01912,4,7410.21,10,26676.76
SALE000204,2022-12-20,STORE000,PROD00002,CUST02671,4,378.05,10,1360.98
SALE000205,2022-12-26,STORE003,PROD00320,CUST02447,1,5813.54,20,4650.83
SALE000206,2022-11-12,STORE035,PROD00071,CUST02848,1,4934.73,0,4934.73
SALE000207,2023-04-02,STORE016,PROD00415,CUST01247,1,1167.16,0,1167.16
SALE000208,2024-06-14,STORE048,PROD00288,CUST00970,3,3826.09,5,10904.36
SALE000209,2023-07-29,STORE005,PROD00213,CUST01686,3,1029.35,0,3088.05
SALE000210,2022-03-31,STORE021,PROD00334,CUST01385,2,4252.83,10,7655.09
SALE000211,2022-08-09,STORE036,PROD00066,CUST01338,1,6125.09,10,5512.58
SALE000212,2024-01-16,STORE045,PROD00012,CUST00905,3,5293.86,0,15881.58
SALE000213,2023-03-31,STORE005,PROD00417,CUST00561,4,165.22,0,660.88
SALE000214,2024-01-30,STORE008,PROD00176,CUST01000,4,5887.29,15,20016.79
SALE000215,2023-03-02,STORE018,PROD00377,CUST00611,1,2868.98,15,2438.63
SALE000216,2024-04-02,STORE009,PROD00209,CUST01817,2,800.8,5,1521.52
SALE000217,2023-03-30,STORE026,PROD00331,CUST00937,2,6657.6,20,10652.16
SALE000218,2022-10-23,STORE036,PROD00126,CUST00798,4,1575.02,20,5040.06
SALE000219,2022-06-17,STORE047,PROD00119,CUST01873,2,2090.27,20,3344.43
SALE000220,2024-04-05,STORE020,PROD00470,CUST02456,1,1914.57,20,1531.66
SALE000221,2024-01-16,STORE030,PROD00200,CUST00494,4,3960.82,15,13466.79
SALE000222,2023-03-11,STORE020,PROD00438,CUST02173,3,6818.45,20,16364.28
SALE000223,2024-01-17,STORE014,PROD00132,CUST00045,3,4991.94,0,14975.82
SALE000224,2023-03-01,STORE044,PROD00024,CUST00745,2,6733.88,10,12120.98
SALE000225,2022-05-23,STORE034,PROD00395,CUST01403,4,2576.87,0,10307.48
SALE000226,2024-05-05,STORE021,PROD00296,CUST00182,4,6586.64,0,26346.56
SALE000227,2023-08-25,STORE004,PROD00231,CUST02577,3,2888.07,20,6931.37
SALE000228,2023-09-05,STORE045,PROD00208,CUST00536,4,1708.77,5,6493.33
SALE000229,2022-03-30,STORE012,PROD00075,CUST02995,4,5706.06,0,22824.24
SALE000230,2022-05-28,STORE043,PROD00385,CUST02730,4,4263.68,5,16201.98
SALE000231,2022-08-01,STORE038,PROD00278,CUST00628,2,2435.37,0,4870.74
SALE000232,2022-11-07,STORE030,PROD00445,CUST01752,4,7340.99,20,23491.17
SALE000233,2023-05-02,STORE024,PROD00082,CUST01620,1,7420.92,15,6307.78
SALE000234,2024-06-07,STORE045,PROD00226,CUST01494,2,7116.82,20,11386.91
SALE000235,2023-06-22,STORE015,PROD00043,CUST00578,4,5533.18,0,22132.72
SALE000236,2022-12-10,STORE021,PROD00474,CUST02211,4,5643.24,5,21444.31
SALE000237,2022-03-09,STORE010,PROD00338,CUST02664,1,5240.79,5,4978.75
SALE000238,2023-08-28,STORE039,PROD00081,CUST00696,2,5912.4,10,10642.32
SALE000239,2024-02-14,STORE018,PROD00382,CUST01648,3,4773.57,10,12888.64
SALE000240,2023-01-20,STORE026,PROD00406,CUST01169,3,5537.61,20,13290.26
SALE000241,2022-04-01,STORE004,PROD00285,CUST02239,2,6836.88,10,12306.38
SALE000242,2022-01-07,STORE019,PROD00281,CUST00420,4,5805.65,0,23222.6
SALE000243,2023-02-24,STORE008,PROD00090,CUST01020,4,2317.17,20,7414.94
SALE000244,2023-10-17,STORE046,PROD00473,CUST02697,3,7582.19,10,20471.91
SALE000245,2022-10-07,STORE027,PROD00387,CUST00485,3,7263.82,15,18522.74
SALE000246,2023-03-01,STORE047,PROD00423,CUST00632,3,6136.9,20,14728.56
SALE000247,2022-06-29,STORE010,PROD00398,CUST00605,1,2947.73,10,2652.96
SALE000248,2023-07-24,STORE001,PROD00210,CUST01047,3,2848.83,20,6837.19
SALE000249,2023-04-19,STORE017,PROD00125,CUST00891,1,638.81,20,511.05
SALE000250,2023-12-29,STORE003,PROD00062,CUST00060,2,3957.24,20,6331.58
SALE000251,2023-08-05,STORE032,PROD00010,CUST02582,4,6470.97,20,20707.1
SALE000252,2024-02-13,STORE022,PROD00374,CUST01076,3,4762.31,5,13572.58
SALE000253,2022-05-21,STORE009,PROD00290,CUST02367,4,4923.85,15,16741.09
SALE000254,2022-07-24,STORE001,PROD00207,CUST02868,4,1537.27,15,5226.72
SALE000255,2022-07-10,STORE025,PROD00385,CUST02621,3,4549.36,10,12283.27
SALE000256,2024-05-02,STORE015,PROD00279,CUST01564,3,6509.84,15,16600.09
SALE000257,2023-01-26,STORE013,PROD00233,CUST02075,2,5805.38,15,9869.15
SALE000258,2022-10-24,STORE016,PROD00464,CUST01281,1,5817.94,20,4654.35
SALE000259,2023-07-22,STORE026,PROD00088,CUST01770,1,959.37,0,959.37
SALE000260,2023-05-18,STORE004,PROD00191,CUST02773,4,2611.87,20,8357.98
SALE000261,2022-02-13,STORE004,PROD00489,CUST01217,3,5337.16,10,14410.33
SALE000262,2024-04-22,STORE033,PROD00153,CUST02577,2,7313.36,10,13164.05
SALE000263,2024-04-26,STORE038,PROD00023,CUST01153,2,3421.89,0,6843.78
SALE000264,2022-11-06,STORE031,PROD00225,CUST02745,2,735.55,5,1397.54
SALE000265,2024-05-04,STORE033,PROD00252,CUST02908,2,7172.72,0,14345.44
SALE000266,2023-08-23,STORE031,PROD00394,CUST00348,2,7452.31,20,11923.7
SALE000267,2022-11-08,STORE012,PROD00376,CUST02893,1,4848.92,20,3879.14
SALE000268,2023-05-21,STORE028,PROD00129,CUST00769,1,2809.38,10,2528.44
SALE000269,2023-07-27,STORE009,PROD00275,CUST00535,1,7287.26,10,6558.53
SALE000270,2024-01-28,STORE033,PROD00477,CUST00712,3,4651.51,10,12559.08
SALE000271,2023-04-20,STORE011,PROD00434,CUST02973,4,4568.97,5,17362.09
SALE000272,2022-08-18,STORE041,PROD00271,CUST00233,2,7964.28,0,15928.56
SALE000273,2022-01-28,STORE024,PROD00369,CUST01976,3,4473.56,5,12749.65
SALE000274,2024-03-21,STORE022,PROD00386,CUST00291,2,5380.83,20,8609.33
SALE000275,2022-01-03,STORE038,PROD00432,CUST00160,1,6230.09,0,6230.09
SALE000276,2022-06-07,STORE012,PROD00037,CUST02220,3,2904.25,15,7405.84
SALE000277,2022-09-26,STORE042,PROD00492,CUST01037,1,5410.63,15,4599.04
SALE000278,2022-11-04,STORE013,PROD00450,CUST00605,2,402.4,0,804.8
SALE000279,2023-10-18,STORE044,PROD00456,CUST01443,2,2892.22,15,4916.77
SALE000280,2024-05-04,STORE032,PROD00452,CUST01556,4,6740.88,20,21570.82
SALE000281,2023-10-14,STORE002,PROD00212,CUST01464,2,4090.54,20,6544.86
SALE000282,2023-04-29,STORE018,PROD00442,CUST02293,1,4783.15,5,4543.99
SALE000283,2022-05-08,STORE006,PROD00259,CUST02387,2,1156.84,5,2198.0
SALE000284,2023-11-01,STORE045,PROD00077,CUST00633,4,3398.59,10,12234.92
SALE000285,2023-11-13,STORE039,PROD00476,CUST02226,4,1938.51,20,6203.23
SALE000286,2022-10-22,STORE004,PROD00005,CUST01156,1,3200.02,15,2720.02
SALE000287,2023-03-04,STORE030,PROD00142,CUST02059,3,6255.09,0,18765.27
SALE000288,2022-07-03,STORE005,PROD00110,CUST02127,2,1830.51,10,3294.92
SALE000289,2023-05-19,STORE024,PROD00083,CUST02886,4,2435.46,10,8767.66
SALE000290,2023-12-06,STORE003,PROD00429,CUST00473,2,2770.58,0,5541.16
SALE000291,2023-10-23,STORE015,PROD00265,CUST01446,2,2061.78,5,3917.38
SALE000292,2022-09-08,STORE012,PROD00046,CUST02482,3,5297.81,20,12714.74
SALE000293,2022-01-30,STORE047,PROD00069,CUST00250,4,6598.55,0,26394.2
SALE000294,2022-05-03,STORE043,PROD00236,CUST01784,2,423.98,15,720.77
SALE000295,2024-02-23,STORE014,PROD00248,CUST02946,4,5696.14,15,19366.88
SALE000296,2022-10-11,STORE003,PROD00111,CUST00257,1,4545.39,0,4545.39
SALE000297,2023-05-20,STORE032,PROD00057,CUST02370,1,3472.52,5,3298.89
SALE000298,2022-03-10,STORE023,PROD00387,CUST00532,2,1192.6,0,2385.2
SALE000299,2023-09-06,STORE018,PROD00233,CUST02390,4,683.47,20,2187.1
SALE000300,2024-02-03,STORE018,PROD00386,CUST02958,2,6656.41,20,10650.26
SALE000301,2023-01-06,STORE005,PROD00237,CUST00635,4,7017.2,5,26665.36
SALE000302,2023-08-19,STORE033,PROD00151,CUST00707,4,5218.63,15,17743.34
SALE000303,2023-05-08,STORE041,PROD00347,CUST00303,3,7803.81,5,22240.86
SALE000304,2023-08-03,STORE019,PROD00448,CUST01059,3,6356.82,5,18116.94
SALE000305,2023-03-23,STORE015,PROD00419,CUST00674,3,528.89,0,1586.67
SALE000306,2024-06-08,STORE026,PROD00413,CUST01627,2,4338.86,20,6942.18
SALE000307,2022-09-22,STORE041,PROD00444,CUST01258,3,3993.2,10,10781.64
SALE000308,2023-10-06,STORE027,PROD00086,CUST02124,3,2887.49,15,7363.1
SALE000309,2023-12-04,STORE003,PROD00347,CUST01130,1,5360.94,15,4556.8
SALE000310,2023-05-03,STORE042,PROD00246,CUST02834,4,1166.48,0,4665.92
SALE000311,2023-12-12,STORE011,PROD00274,CUST01889,4,5269.83,20,16863.46
SALE000312,2024-04-17,STORE043,PROD00309,CUST02816,3,3709.78,5,10572.87
SALE000313,2022-05-03,STORE001,PROD00499,CUST01714,4,3605.77,0,14423.08
SALE000314,2023-01-18,STORE040,PROD00328,CUST01070,1,1764.98,20,1411.98
SALE000315,2023-06-09,STORE038,PROD00392,CUST00273,1,3498.07,20,2798.46
